1. the,le
2. of,de
4. and,et
6. in,dans
7. for,pour
8. is,8. est
9. the,9. le
10. that,10.
11. on,11.
12. said,12. dit
13. with,13. avec
14. be,14.
15. was,15. était
16. by,16.
17. as,17.
18. are,18. sont
19. at,19.
20. from,20. de
21. it,21.
22. has,22. a
23. an,23. an
24. have,24.
25. will,25. Will
26. or,26. ou
27. its,27.
28. he,28.
29. not,29. pas
30. were,30. étaient
31. which,31. qui
32. this,32. Ceci
33. but,33. Mais
34. can,34. peut
35. more,35. Plus
36. his,36.
37. been,37.
38. would,38.
39. about,39.
40. their,40. Leur
41. also,41. Aussi
42. they,42. Ils
43. million,43. millions
44. had,44.
45. than,45.
46. up,46.
47. who,47. Qui
48. In,48.
49. one,49. un
50. you,50. Vous
51. new,51. Nouveau
52. A,52. A
53. I,53. I
54. other,54. Autre
55. year,55.
56. all,56. Tous
57. two,57. Deux
58. S,58. S
59. But,59. Mais
60. It,60.
61. company,61. Société
62. into,62.
63. U,63. u
64. Mr.,64. M.
65. system,65. Système
66. some,66. Certains
67. when,67. Quand
68. out,68.
69. last,69. Dernière
70. only,70. seulement
71. after,71. après
72. first,72. d'abord
73. time,73. Temps
74. says,74. dit
75. He,75. il
76. years,76. ans
77. market,77. Marché
78. no,78. Non
79. over,79.
80. we,80. nous
81. could,81. pourrait
82. if,82. si
83. people,83. Les gens
84. percent,84. pour cent
85. such,85. tel
86. This,86. Ceci
87. most,87. la plupart
88. use,88. Utiliser
89. because,89. Parce que
90. any,90. Tout
91. data,91. Données
92. there,92.
93. them,93.
94. government,94. gouvernement
95. may,95. mai
96. software,96. Logiciel
97. so,97.
98. New,98. Nouveau
99. now,99. maintenant
100. many,100. beaucoup
101. used,101. Utilisé
102. program,102. Programme
103. systems,103. Systèmes
104. three,104. Trois
105. do,105. faire
106. Inc,106. Inc
107. between,107. entre
108. billion,108. milliards
109. what,109. quoi
110. through,110.
111. per,111. par
112. make,112. faire
113. before,113. avant
114. should,114. devrait
115. these,115. ces
116. down,116. Down
117. under,117.
118. made,118. Fabriqué
119. Corp,119. Corp
120. companies,120. Compagnies
121. much,121. Beaucoup
122. work,122. travail
123. users,123. utilisateurs
124. officials,124.
125. like,125. comme
126. business,126. Business
127. support,127. Support
128. just,128. Juste
129. each,129. chacun
130. those,130. ceux
131. her,131. elle
132. well,132. bien
133. since,133. Depuis
134. she,134. Elle
135. information,135. Informations
136. both,136. les deux
137. being,137. Être
138. your,138. Votre
139. products,139. Produits
140. president,140. Président
141. share,141. Partager
142. sales,142. ventes
143. where,143. où
144. say,144. Dites
145. get,145.
146. network,146. Réseau
147. against,147. contre
148. We,148. Nous
149. while,149.
150. even,150.
151. If,151. Si
152. week,152. semaine
153. price,153. Prix
154. group,154. groupe
155. way,155. Voie
156. during,156. pendant
157. state,157. État
158. still,158.
159. same,159.
160. then,160. alors
161. number,161. Numéro
162. For,162.
163. They,163.
164. our,164. Notre
165. very,165. très
166. shares,166. actions
167. next,167. Suivant
168. including,168. y compris
169. computer,169. Computer
170. set,170. Ensemble
171. applications,171. Applications
172. off,172.
173. available,173. Disponible
174. York,174. York
175. how,175. Comment
176. prices,176. Prix
177. take,177. Prendre
178. him,178. Lui
179. American,179. Américain
180. using,180. Utilisation
181. must,181. MUST
182. part,182.
183. back,183. retour
184. expected,184. attendu
185. good,185. bon
186. stock,186. Stock
187. And,187. et
188. high,188. High
189. another,189. un autre
190. several,190. Plusieurs
191. months,191. mois
192. end,192. fin
193. report,193. Rapport
194. IBM,194. IBM
195. product,195. Produit
196. industry,196. Industrie
197. don't,197.
198. own,198.
199. four,199. Quatre
200. major,200. Major
201. need,201. Besoin
202. power,202. Power
203. management,203. Gestion
204. control,204. Contrôle
205. did,205. fait
206. less,206. Moins
207. rate,207. Tarif
